/control/execute exercise5d.in
/gamos/setParam GmGeometryFromText:FileName exercise5.geom
/gamos/geometry GmGeometryFromText
/gamos/physicsList G4QGSP_BIC_NHP
<<< Geant4 Physics List simulation engine: QGSP_BIC_NHP 1.3

WARNING: G4QStoppingPhysics is deprecated and will be removed in GEANT4 version 10.0.
/gamos/generator GmGenerator
 GmGenUtils::FileInPath ./isotopes.dat in .
 GmGenUtils::FileInPath /home/arce/gamosnew/GAMOS.5.0.0/data/isotopes.dat in /home/arce/gamosnew/GAMOS.5.0.0/data
/run/initialize
 GmGenUtils::FileInPath ./exercise5.geom in .
0x2ab7cf0TEST  G4ParticleHPChannel UpdateData neutronWARNING: model G4LENeutronInelastic is being deprecated and will
disappear in Geant4 version 10.0
@@@ G4ParticleHPInelastic instantiated for particle neutron data directory variable is G4NEUTRONHPDATA pointing to /home/arce/gamosnew/external/geant4/geant4.9.6.p02.gamos/../data/G4NDL4.2/Inelastic
0x30fc4a0TEST  G4ParticleHPChannel UpdateData neutron0x3327c60 0 G4ParticleHPDiscreteTwoBody READ DATA 875292 0 2
0x3738e70 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3739f60 0 G4ParticleHPDiscreteTwoBody READ DATA 6.45953e+06 0 1
0x3739f60 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x373b5f0 0 G4ParticleHPDiscreteTwoBody READ DATA 6.61991e+06 0 1
0x373b5f0 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x373c980 0 G4ParticleHPDiscreteTwoBody READ DATA 6.85156e+06 0 1
0x373c980 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x373e010 0 G4ParticleHPDiscreteTwoBody READ DATA 6.90467e+06 0 1
0x373e010 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x373f480 0 G4ParticleHPDiscreteTwoBody READ DATA 7.07584e+06 0 1
0x373f480 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3740b90 0 G4ParticleHPDiscreteTwoBody READ DATA 7.11287e+06 0 1
0x3740b90 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
0x3741f80 0 G4ParticleHPDiscreteTwoBody READ DATA 7.26226e+06 0 1
0x3741f80 1 G4ParticleHPDiscreteTwoBody READ DATA 1.5e+08 0 1
